,,,,
대학 감사 지적 사례 검색 서비스,,,,
,,,,
검색구분,"검색구분(학교명, 제목, 지적내용)",,,
,,,,
검색기간,,,,
,,,,
,,,,
연도,학교명,구분,제    목,지적내용
2017,대구가톨릭대학교,종합감사,포상금 지급 부적정,"교직원 852명(연인원)에게 공적이나 추천사유도 없이 교원(직원) 제수당 계정과목에서 포상금으로 합계 330,600천원 지급"
2017,대구가톨릭대학교,종합감사,정년퇴직 직원 특별휴가 부여 부적정,정년퇴직 예정 직원 4명에 대하여 복무처리 없이 1개월간의 특별휴가 부여
2017,대구가톨릭대학교,종합감사,교수회의 참석비 지급 부적정,"2차례에 걸쳐 지급 근거없이 교수회의 참석자 총 702명(연인원)에게 참석비 합계 35,100천원 지급"
2017,대구가톨릭대학교,종합감사,일반경쟁 대상 용역 등 수의계약체결부적정,"일반경쟁입찰 대상 용역계약 등(총 10건, 계약금액 9,776,605천원)을 수의계약으로 체결"
2017,대구가톨릭대학교,종합감사,교비회계 집행 부적정,"(재)OOOOOOOOO재단 소유 빌딩(총 1771.9㎡)을 5년간 임대료 200,000천원에 임차하고, 그 중 1층을 커피숍으로, 8층 및 10층을 특수교육원강의실(미인가)로사용"
2017,대구가톨릭대학교,종합감사,시설공사 설계·시공검사 부적정,"◦ ‘기숙사 신축공사 설계용역’을 추진하면서 피난계단 바닥 마감재가 불연재가 아닌 러버타일로 적용된 설계도서를 납품받고도 시정조치 없이 용역비 전액을 지급
◦ 피난계단 바닥 마감재를 불연재로 변경하지 않고 설계도서대로 시공, 기숙사 신축공사 등 5건 공사의 부적정 시공에 대하여 해당 공사비 감액 또는 재시공 요구 등의 조치 없이 합계 74,186천원 전액 지급"
2017,대구가톨릭대학교,종합감사,철거물 처리 부적정,"학생회관 냉난방기 설치공사 등 2건 공사에서 철거한 주철재 방열기 합계 399개를 시공업체가 임의 처리하도록 함으로써 고철비용 합계 13,597천원 상당의 수입 未확보"
2017,대구가톨릭대학교,종합감사,시설공사 법정경비 정산 부적정,"◦ ‘기숙사 신축공사’ 등 시설공사 7건의 준공대가를 지급하면서 업체가 보험료 납부확인서 등 지출증빙을 제출하지 않아 납부내역을 확인할 수 없는데도, 국민건강보험료 등 합계 87,012천원 未감액
◦ ‘기숙사 신축공사’ 등 시설공사 13건의 준공대가를 지급하면서 업체가 사용불가항목으로 집행하였거나 사용증빙을 미흡하게 제출한 내역에 대한 안전관리비 부적정 집행액 합계 64,158천원 未감액
◦ ‘연구실험동(의과대학) 신축공사’ 등 시설공사 5건의 준공대가를 지급하면서 업체가 환경관리비 지출 증빙을 제출하지 않아 사용실적을 확인할 수 없는데도, 환경관리비 합계 91,190천원 未감액"
2017,대구가톨릭대학교,종합감사,전기 및 정보통신공사 未분리 발주,8건의 시설공사를 추진하면서 전기공사 및 정보통신공사를 다른 공사와 분리하지 아니하고 일괄 계약체결
2017,목포대학교,종합감사,수입금 국고 납입 지연,"수입금 총 855건 합계 392,031천원에 대해 수입금 출납계좌에 보관하다가 짧게는 4일에서 길게는 128일 경과하여 국고 납입"
